2	-13	-19	-11
1	12	16	15
1	-2	0	-6
2	-11	-11	-17
1	-4	-3	-5
0	7	5	4
1	-3	-1	-4
0	1	1	10
1	15	13	20
1	19	19	18
0	7	6	4
1	20	17	15
0	1	2	3
0	9	3	1
1	-2	-6	-7
1	20	13	10
2	-13	-20	-13
0	0	4	8
1	0	-5	0
1	0	-6	-9
1	20	20	19
2	-20	-15	-10
1	18	11	20
0	10	0	5
0	0	2	3
1	-1	-1	-4
2	-16	-10	-15
0	6	5	6
1	20	16	11
2	-12	-11	-17
2	-13	-17	-12
1	-6	-10	0
1	20	19	11
2	-10	-11	-16
1	-1	0	-3
1	-2	-10	-1
2	-12	-14	-18
2	-20	-12	-13
1	18	15	20
0	4	9	10
1	-1	-10	0
1	12	18	11
2	-16	-18	-11
2	-10	-10	-12
1	-1	-5	-5
2	-20	-20	-15
2	-13	-10	-12
1	17	13	18
0	5	5	10
2	-13	-14	-17
1	-6	-4	-10
2	-12	-16	-14
1	10	14	11
0	7	8	6
0	5	0	4
2	-13	-19	-11
0	9	9	1
1	0	-5	-2
2	-15	-10	-13
0	8	4	8
1	20	14	16
1	17	10	15
2	-15	-11	-17
2	-10	-16	-14
1	15	13	19
0	2	2	10
1	-3	-10	-2
2	-18	-14	-20
0	5	5	9
0	3	1	9
1	-3	-3	-1
0	3	2	7
1	-10	-2	-4
0	2	5	10
1	20	10	18
0	1	1	8
1	18	14	13
1	-8	-2	-9
0	4	1	3
0	6	4	4
1	12	11	11
1	19	14	16
1	15	17	19
1	-3	-10	-5
1	-7	-2	-1
2	-19	-16	-15
1	-4	-10	-1
2	-13	-17	-10
0	3	1	10
0	8	10	0
1	-8	-8	-9
1	12	16	20
1	-3	-6	-5
1	10	18	17
0	9	0	6
2	-17	-13	-15
0	6	5	3
0	4	6	5
0	6	6	5
2	-19	-14	-11
0	4	1	0
0	1	3	1
2	-13	-18	-15
1	-10	-2	-2
1	17	20	11
2	-12	-19	-17
1	-7	-9	-8
0	0	8	9
1	10	17	19
0	7	6	1
1	-6	-7	-6
0	0	6	5
1	10	11	17
1	-1	-6	-7
2	-19	-12	-10
0	6	0	6
1	-9	-8	-4
0	8	2	7
2	-13	-12	-20
1	16	10	17
2	-17	-20	-17
1	-3	-5	-9
